Segment Number,Scene Title ,Start Time (min),End Time (min),Start Time (s) , End Time (s) ,Scene Details - A Level ,Scene Details - B Level,Original B Levels (Janice) fixed,Space-In/Outdoor,Who-N/G/M,Name - All,Name - Focus,Name - Speaking,Space-In/Outdoor,Location,Camera Angle,Words on Screen ,Music Presence ,Temporal Relationship ,Type of Jump,Arousal,valence
319,,16:13,16:15,973,975,"Lestrade says: ""You know how they never leave notes?"" Sherlock says: ""Yeah"" in the background. Lestrade continues: ""This one did.""", ,,Indoor,"M, G","Sherlock, Lestrade",Lestrade,"Lestrade, Sherlock",Indoor,221B Baker Street Suite ,Medium,,Yes,,,4,+
320,,16:15,16:18,975,978,"Sherlock looks intrigued. Lestrade asks: ""Will you come?""", ,,Indoor,"M, G","Sherlock, Lestrade",Sherlock,Lestrade,Indoor,221B Baker Street Suite ,Close Up,,Yes,,,4,+
321,,16:18,16:19,978,979,"Sherlock asks Lestrade: ""who is on forensics?""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,221B Baker Street Suite ,Close Up,,Yes,,,4,+
322,,16:19,16:20,979,980,"Lestrade answers: ""It's Anderson.""", ,,Indoor,G,Lestrade,Lestrade,Lestrade,Indoor,221B Baker Street Suite ,Medium,,Yes,,,4,+
323,,16:20,16:21,980,981,"Sherlock grimaces and says: ""Anderson won't work with me.""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,221B Baker Street Suite ,Close Up,,Yes,,,4,+
324,,16:21,16:22,981,982,Shot of John sitting down on a chair with his right hand on his cane standing upright on the floor and keenly looking at Sherlock as he is speaking. , ,,Indoor,M,John,John,,Indoor,221B Baker Street Suite ,Medium,,Yes,,,4,+
325,,16:22,16:23,982,983,"Lestrade states: ""Well, he won't be your assistant.""", ,,Indoor,G,Lestrade,Lestrade,Lestrade,Indoor,221B Baker Street Suite ,Close Up,,Yes,,,4,+
326,,16:23,16:25,983,985,"Sherlock insistingly says: ""I NEED and assistant.""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,221B Baker Street Suite ,Close Up,,Yes,,,4,+
327,,16:25,16:26,985,986,"Lestrade, seemingly a little exasperated, asks again: ""Will you come?""", ,,Indoor,G,Lestrade,Lestrade,Lestrade,Indoor,221B Baker Street Suite ,Close Up,,Yes,,,4,+
328,,16:26,16:28,986,988,"Sherlock replies: ""Not in a police car. I'll be right behind."" ", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,221B Baker Street Suite ,Medium,,Yes,,,4,+
329,,16:28,16:31,988,991,"Lestrade gives a little bow and says: ""Thank you."" He looks around at John and Mrs. Hudson, who is standing by the kitchen entrance, for a moment. Then he turns and hurries off down the stairs.", ,,Indoor,"M, G","Sherlock, Lestrade, Mrs. Hudson",Lestrade,Lestrade,Indoor,221B Baker Street Suite ,"Over the Shoulder, Long",,Yes,,,4,+
330,,16:31,16:34,991,994,John looks puzzled as he looks back at Lestrade leaving the room then looks round at Sherlock. , ,,Indoor,M,John,John,,Indoor,221B Baker Street Suite ,Medium,,Yes,,,3,+
331,,16:34,16:36,994,996,Sherlock waits until Lestrade has reached the front door. He is looking outside the window. He hears the sound of the door closing shut. , ,,Indoor,M,Sherlock,Sherlock,,Indoor,221B Baker Street Suite ,Medium,,Yes,,,3,+
332,,16:36,16:39,996,999,"Sherlock smiles and leaps into the air and clenches his fists triumphantly while saying : ""BRILLIANT!""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,221B Baker Street Suite ,Medium,,Yes,,,5,+
333,,16:39,16:44,999,1004,"Sherlock shouts: ""Yes!"" He happily twirls around the room as he says: ""Ah, four serial suicides, and now a note! Oh, it's Christmas.""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,221B Baker Street Suite ,Medium,,Yes,,,5,+
334,,16:44,16:48,1004,1008,"Sherlock grabs his coat and puts it on while says: ""Mrs. Hudson, I'll be late. Might need some food"" and walks into the kitchen. ", ,,Indoor,"M, G","Sherlock, John, Mrs. Hudson",Sherlock,Sherlock,Indoor,221B Baker Street Suite ,Medium,,Yes,,,5,+
335,,16:48,16:50,1008,1010,"Mrs. Hudson is standing by the entrance of the kitchen and says to Sherlock: ""I'm your landlady dear, not your housekeeper.""", ,,Indoor,"M, G","Sherlock, Mrs. Hudson","Sherlock, Mrs. Hudson",Mrs. Hudson,Indoor,221B Baker Street Suite ,"Over the Shoulder, Long",,Yes,,,5,+
336,,16:50,16:54,1010,1014,"Sherlock replies: ""Something cold will do"" as he puts on a scarf. Sherlock adds: ""John, have a cup of tea, make yourself at home"" then grabs a small leather pouch from the kitchen table. ", ,,Indoor,"M, G","Sherlock, John, Mrs. Hudson","Sherlock, John, Mrs. Hudson",Sherlock,Indoor,221B Baker Street Suite ,"Over the Shoulder, Long",,Yes,,,5,+
337,,16:54,16:55,1014,1015,"Sherlock opens the door to the stairway and says: ""Don’t wait up!"" and leaves the room. ", ,,Indoor,"M, G","Sherlock, Mrs. Hudson",Sherlock,Sherlock,Indoor,221B Baker Street Suite ,Medium,,Yes,,,5,+
338,,16:55,17:00,1015,1020,"Mrs. Hudson turns to John who is still sitting down and says: ""Look at him, dashing about! My husband was just the same.""",21. Mrs. Hudson continues to imply that John and Sherlock are an item. She offers to bring John some tea and biscuits and leaves to get them. , ,Indoor,"M, G","John, Mrs. Hudson","John, Mrs.Hudson",Mrs. Hudson,Indoor,221B Baker Street Suite ,Long,,No,,,3,+
339,,17:00,17:05,1020,1025,"John grimaces at the repeated implication that he and Sherlock are an item. Mrs. Hudson looks at John and observes: ""But, you are more the sitting down type, I can tell.""",Segment 338-347,23. Gay couple?,Indoor,"M, G","John, Mrs. Hudson ","John, Mrs.Hudson",Mrs. Hudson,Indoor,221B Baker Street Suite ,Long,,No,,,3,+
340,,17:05,17:07,1025,1027,"Mrs. Hudson turns and walks toward the door and says: ""I'll make you that cup of coffee. You rest your leg."" John looks very annoyed. ", ,,Indoor,"M, G","John, Mrs. Hudson","John, Mrs.Hudson",Mrs. Hudson,Indoor,221B Baker Street Suite ,Long,,No,,,3,+
341,,17:07,17:08,1027,1028,"John shouts: ""DAMN MY LEG!"" and Mrs. Hudson jumps and turns around surprised. ", ,,Indoor,"M, G","John, Mrs. Hudson","John, Mrs.Hudson",John,Indoor,221B Baker Street Suite ,Long,,No,,,5,+
342,,17:08,17:13,1028,1033,"John immediately apologizes and bashes his leg with his cane saying: ""Sorry, I'm so sorry. It's just sometimes this bloody thing…"" as Mrs. Hudson walks back toward John. ", ,,Indoor,"M, G","John, Mrs. Hudson","John, Mrs.Hudson",John,Indoor,221B Baker Street Suite ,Long,,No,,,5,+
343,,17:13,17:16,1033,1036,"Mrs. Hudson says: ""I understand dear, I've got a hip"" and turns around toward the door again. ", ,,Indoor,"M, G","John, Mrs. Hudson","John, Mrs.Hudson",Mrs. Hudson,Indoor,221B Baker Street Suite ,Long,,No,,,3,+
344,,17:16,17:17,1036,1037,"John sounds frustrated as he says: ""Cup of tea would be lovely, thank you"" and he grabs a newspaper on the right arm of his chair. ", ,,Indoor,M,"John, Mrs. Hudson","John, Mrs.Hudson",John  ,Indoor,221B Baker Street Suite ,Long,,No,,,3,+
345,,17:17,17:19,1037,1039,"Mrs. Hudson notes: ""Just this once, dear, I'm not your housekeeper"" and starts to walk out of the door. ", ,,Indoor,"M, G","John, Mrs. Hudson","John, Mrs.Hudson",Mrs. Hudson,Indoor,221B Baker Street Suite ,Long,,No,,,3,+
346,,17:19,17:22,1039,1042,"John adds just as Mrs. Hudson is about to leave the room: ""Couple of biscuits too, if you have got them"", then opens the newspaper in his hands. Mrs. Hudson comes back in half-way. ", ,,Indoor,"M, G","John, Mrs. Hudson",John,John,Indoor,221B Baker Street Suite ,Long,,No,,,3,+
347,,17:22,17:23,1042,1043,"Mrs. Hudson says: ""Not your housekeeper!"" then leaves the room. ", ,,Indoor,"M, G","John, Mrs. Hudson","John, Mrs.Hudson",Mrs. Hudson,Indoor,221B Baker Street Suite ,Long,,No,,,3,+
348,Beginnings of a partnership,17:23,17:24,1043,1045,John looks closely at the front-page article of the newspaper and folds the half of the newspaper that he is reading. ,22. John is reading about the serial suicide case in the newspaper when Sherlock re-enters the room and asks if John would like to see some more medical action in his life. John desperately agrees and both Sherlock and John leave to go to the crime scene of the fourth victim. They say bye to Mrs. Hudson and get on a cab outside of 221B Baker Street. , ,Indoor,M ,John,John,,Indoor,221B Baker Street Suite ,Medium,,Yes,,,3,+
349,,17:25,17:27,1045,1047,"There is a sound of someone opening a door in the background. John looks at the article reporting Beth Davenport's apparent suicide. Next to a large photograph of Beth is a smaller one showing the man who just visited the flat and identifying him at D.I. Lestrade. The byline is ""Serial Cults.""",Segment 348-371,,Indoor,N,Nobody,,,Indoor,221B Baker Street Suite ,Point of View,,Yes,,,3,+
350,,17:27,17:31,1047,1051,"Before John can read on, Sherlock's voice interrupts him stating: ""you are a doctor."" John looks up and sees him standing at the living room door. Sherlock continues: ""In fact, you are an army doctor"" while putting on a pair of black gloves. ", ,24. Watson joins in ,Indoor,M,"Sherlock, John","Sherlock, John",Sherlock,Indoor,221B Baker Street Suite ,"Medium, Long, Panning",,Yes,,,3,+
351,,17:31,17:34,1051,1054,"John says : ""Yes"" and stands up from the chair with his cane with a small grunt.", ,,Indoor,M,John,John,John,Indoor,221B Baker Street Suite ,Medium,,Yes,,,3,+
352,,17:34,17:36,1054,1056,"Sherlock asks: ""Any good?""", ,,Indoor,M,"Sherlock, John",Sherlock,Sherlock,Indoor,221B Baker Street Suite ,"Over the Shoulder, Medium",,Yes,,,3,+
353,,17:36,17:39,1056,1059,"John says: ""Very good.""", ,,Indoor,M,John,John,John,Indoor,221B Baker Street Suite ,Medium,,Yes,,,3,+
354,,17:39,17:42,1059,1062,"Sherlock says: ""Seen a lot of injuries, then; violent deaths..."" while walking closer to John.", ,,Indoor,M,"Sherlock, John",Sherlock,Sherlock,Indoor,221B Baker Street Suite ,"Over the Shoulder, Medium",,Yes,,,3,+
355,,17:42,17:44,1062,1064,"John replies: ""Mmm, yes."" Sherlock continues to walk toward John. ", ,,Indoor,M,"Sherlock, John",John,John,Indoor,221B Baker Street Suite ,"Over the Shoulder, Medium",,Yes,,,3,+
356,,17:44,17:45,1064,1065,"Sherlock continues: ""Bit of trouble too, I bet"" and stops his tracks in front of John. ", ,,Indoor,M,"Sherlock, John",John,Sherlock,Indoor,221B Baker Street Suite ,"Over the Shoulder, Medium",,Yes,,,3,+
357,,17:45,17:50,1065,1070,"John replies in a serious tone: ""Of course, yes. Enough for a lifetime. Far too much.""", ,,Indoor,M,"Sherlock, John",John,John,Indoor,221B Baker Street Suite ,"Over the Shoulder, Medium",,Yes,,,3,+
358,,17:50,17:52,1070,1072,"Sherlock pauses for a moment and asks: ""Wanna see some more?""", ,,Indoor,M,"Sherlock, John",Sherlock,Sherlock,Indoor,221B Baker Street Suite ,"Over the Shoulder, Medium",,Yes,,,3,+
359,,17:52,17:53,1072,1073,"John says fervently: ""Oh God, yes."" ", ,,Indoor,M,"Sherlock, John",John,John,Indoor,221B Baker Street Suite ,"Over the Shoulder, Medium",,Yes,,,3,+
360,,17:53,17:54,1073,1074,Sherlock immediately turns around to go out and John quickly follows. , ,,Indoor,M,"Sherlock, John","Sherlock, John",,Indoor,221B Baker Street Suite ,"Over the Shoulder, Medium",,Yes,,,4,+
361,,17:54,17:57,1074,1077,Sherlock quickly runs down the stairs. John is seen following behind., ,,Indoor,M,"Sherlock, John","Sherlock, John ",,Indoor,221B Baker Street Stairway,"Tracking , Medium",,Yes,,,4,+
362,,17:57,18:00,1077,1080,"A shot of Sherlock's back as he goes down the stairs. John calls out: ""Sorry, Mrs. Hudson, I'll skip the tea. Off out."" ", ,,Indoor,M,"Sherlock, John",Sherlock,John,Indoor,221B Baker Street Stairway,"Tracking , Medium",,Yes,,,4,+
363,,18:00,18:01,1080,1081,"Continued shot of Sherlock's backside. Mrs. Hudson asks: ""Both of you?"" Sherlock has almost reach the front door but he stops.  ", ,,Indoor,"M, G","Sherlock, Mrs. Hudson",Sherlock,Mrs. Hudson,Indoor,221B Baker Street Stairway,"Tracking , Medium",,Yes,,,4,+
364,,18:01,18:07,1081,1087,"Sherlock turns around and walks toward Mrs. Hudson who is standing near the bottom of the stairs. He excitedly says: ""Impossible suicides? Four of them? There's no point sitting at home when there's finally something fun going on!"" Sherlock takes Mrs. Hudson by the shoulders and kisses her noisily on the cheek. ", ,,Indoor,"M, G","Sherlock,  Mrs. Hudson",Sherlock,Sherlock,Indoor,221B Baker Street Foyer,"Tracking , Medium",,Yes,,,5,+
365,,18:07,18:10,1087,1090,"John is at the bottom of the stairs as he watches. Mrs. Hudson says: ""Look at you, all happy. It's not decent"", but she can't help but smile. ", ,,Indoor,"M, G","Sherlock, John, Mrs. Hudson","Sherlock, John, Mrs. Hudson",Mrs. Hudson,Indoor,221B Baker Street Foyer,Medium,,Yes,,,5,+
366,,18:10,18:14,1090,1094,"Sherlock turns around and walks toward the door saying: ""Who care about decent? The game, Mrs. Hudson, is on!"" John is seen following behind ", ,,Indoor,"M, G","Sherlock, John, Mrs. Hudson",Sherlock,Sherlock,Indoor,221B Baker Street Foyer,"Tracking, Medium",,Yes,,,5,+
367,,18:14,18:17,1094,1097,Sherlock goes out of the front door and he walks out onto the street., ,,Outdoor,M,Sherlock,Sherlock,Sherlock,Outdoor,Baker Street,"Tracking, Medium",,Yes,,,5,+
368,,18:17,18:19,1097,1099,"Sherlock turns around and hails an approaching black cab. He yells out: ""Taxi!"" ", ,,Outdoor,M,Sherlock,Sherlock,Sherlock,Outdoor,Baker Street,"Tracking, Medium",,Yes,,,5,+
369,,18:19,18:24,1099,1104,John follows behind and waits for the taxi to pull up with Sherlock., ,,Outdoor,M,"Sherlock, John","Sherlock, John",,Outdoor,Baker Street,"Tracking, Medium",,Yes,,,5,+
370,,18:24,18:31,1104,1111,"A black taxi pulls up on the side of the road and Sherlock, then John get into the taxi. ", ,,Outdoor,M,"Sherlock, John","Sherlock, John ",,Outdoor,Baker Street,Long,,Yes,,,5,+
371,,18:31,18:41,1111,1121,The taxi signals to the left and merges with traffic to join the main road. , ,,Outdoor,N,Nobody,,,Outdoor,Baker Street,Top,,Yes,,,5,+
372,Inside the taxi ,18:42,18:49,1121,1129,Frontal view of Sherlock sitting in the taxi with his eyes fixed on his smartphone. It is now dark outside. ,"23. On the road to the crime scene, John starts asking questions about Sherlock's involvement with the police. Sherlock explains that he is a consulting detective. John says the police dont consult amateurs, so Sherlock begins to explain what he learned about John the day they first met. ",25. Questions,Outdoor,M,Sherlock,Sherlock,,Outdoor,On the road in a taxi,Medium,,Yes,Jump,2,2,+
373,,18:49,18:53,1129,1133,A side view of sherlock's face as he continues to look at his phone. John keeps stealing nervous glances at him in the background,Segment 372-389,,Outdoor,M,"Sherlock, John","Sherlock, John",,Outdoor,On the road in a taxi,Medium,,Yes,,,2,+
374,,18:53,18:55,1133,1135,Sherlock notices this with a sideglance at John. He takes his eyes off his phone and looks away then looks back at John. , ,,Outdoor,M,"Sherlock, John","Sherlock, John",,Outdoor,On the road in a taxi,Medium,,Yes,,,2,+
375,,18:55,18:58,1135,1138,"Sherlock takes a deep breath and states: ""Okay, you have got questions."" ", ,,Outdoor,M,"Sherlock, John","Sherlock, John",Sherlock,Outdoor,On the road in a taxi,Medium,,Yes,,,3,+
376,,18:58,19:00,1138,1140,"John says: ""Yeah, where are we going?""", ,,Outdoor,M,"Sherlock, John","Sherlock, John",John,Outdoor,On the road in a taxi,Medium ,,Yes,,,3,+
377,,19:00,19:03,1140,1143,"Sherlock replies: ""Crime scene. Next?""", ,,Outdoor,M,"Sherlock, John","Sherlock, John",Sherlock,Outdoor,On the road in a taxi,Medium,,Yes,,,3,+
378,,19:03,19:04,1143,1144,"John replies: ""Who are you? What do you do?"" and looks toward Sherlock. ", ,,Outdoor,M ,"Sherlock, John","Sherlock, John",John,Outdoor,On the road in a taxi,Medium,,Yes,,,3,+
379,,19:04,19:05,1144,1145,"Sherlock asks: ""What do you think?"" ", ,,Outdoor,M,"Sherlock, John","Sherlock, John",Sherlock,Outdoor,On the road in a taxi,Medium,,Yes,,,3,+
380,,19:05,19:09,1145,1149,"John slowly and hesitantly says: ""I'd say private detective…"" Sherlock asks: ""But?""", ,,Outdoor,M ,"Sherlock, John","Sherlock, John","Sherlock, John",Outdoor,On the road in a taxi,Medium,,Yes,,,3,+
381,,19:09,19:10,1149,1150,"John turns toward Sherlock and says: ""…but the police don't go to private detectives.""", ,,Outdoor,M,"Sherlock, John","Sherlock, John",John,Outdoor,On the road in a taxi,Medium,,Yes,,,3,+
382,,19:10,19:15,1150,1155,"Sherlock smiles and says: ""I'm a consulting detective. Only one in the world. I invented the job.""", ,,Outdoor,M,Sherlock,Sherlock,Sherlock,Outdoor,On the road in a taxi,Medium,,Yes,,,3,+
383,,19:15,19:16,1155,1156,"John asks: ""What does that mean?"" ", ,,Outdoor,M ,"Sherlock, John","Sherlock, John",John,Outdoor,On the road in a taxi,Medium,,Yes,,,3,+
384,,19:16,19:20,1156,1160,"Sherlock elaborates: ""It means when the police are out of their depth, which is always, they consult me.""", ,,Outdoor,M," Sherlock, John","Sherlock, John",Sherlock,Outdoor,On the road in a taxi,Medium,,Yes,,,3,+
385,,19:20,19:23,1160,1163,"John laughs, looks at Sherlock and says: ""The police don't consult amateurs."" ", ,,Outdoor,M,"Sherlock, John","Sherlock, John",John,Outdoor,On the road in a taxi,Medium,,Yes,,,3,+
386,,19:23,19:25,1163,1165,Sherlock throws John a look. , ,,Outdoor,M,"Sherlock, John","Sherlock, John",,Outdoor,On the road in a taxi,Medium,,Yes,,,3,+
387,Sherlock Explains how he analyzed John,19:25,19:29,1165,1169,"Sherlock says: ""When I met you for the first time yesterday, I said, ""Afghanistan or Iraq?"" You looked surprised.""  ", ,,Outdoor,M,Sherlock,Sherlock,Sherlock,Outdoor,On the road in a taxi,Medium,,Yes,,,3,+
